engine,method,percent,run_id,bench_n,success_rate,avg_moves,avg_nodes,avg_time
learned,gbrt,80,run_008,50,1.0,21.98,1322.94,0.029495719997794368
learned,gbrt,80,run_009,50,1.0,22.02,1742.76,0.03972490599902812
learned,gbrt,80,run_010,50,1.0,22.02,1946.52,0.04091536400024779
learned,gbrt,80,run_011,50,1.0,21.98,2085.44,0.04806313000037335
learned,gbrt,80,run_012,50,1.0,22.02,1823.26,0.03988268000190146
learned,gbrt,80,run_013,50,1.0,21.98,2184.38,0.04999468400084879
learned,gbrt,80,run_014,50,1.0,22.02,1378.26,0.03113327800296247
learned,gbrt,80,run_015,50,1.0,21.98,1659.48,0.03673230800195597
learned,gbrt,90,run_001,50,1.0,21.98,1826.74,0.04260222199780401
learned,gbrt,90,run_002,50,1.0,21.98,1461.46,0.031433535996475255
learned,gbrt,90,run_003,50,1.0,22.02,1512.12,0.033810208001523276
learned,gbrt,90,run_004,50,1.0,22.02,2207.94,0.04687336599745322
learned,gbrt,90,run_005,50,1.0,21.98,1593.3,0.04316311799746472
learned,gbrt,90,run_006,50,1.0,21.98,2086.56,0.05137597399880178
learned,gbrt,90,run_007,50,1.0,21.98,1496.92,0.017114489998784847
learned,gbrt,90,run_008,50,1.0,22.02,1423.32,0.015733696001116185
learned,gbrt,90,run_009,50,1.0,21.94,1572.88,0.016905340000521393
learned,gbrt,90,run_010,50,1.0,21.98,2378.5,0.027304207998677155
learned,gbrt,90,run_011,50,1.0,21.9,2581.08,0.03481928999884985
learned,gbrt,90,run_012,50,1.0,22.02,1468.44,0.01720833599916659
learned,gbrt,90,run_013,50,1.0,22.02,1467.82,0.0182895679975627
learned,gbrt,90,run_014,50,1.0,22.02,1872.46,0.02229210000135936
learned,gbrt,90,run_015,50,1.0,21.98,1660.96,0.01906881800154224
learned,mlp,10,run_001,50,1.0,21.98,3651.24,0.03951656400167849
learned,mlp,10,run_002,50,1.0,21.9,3888.62,0.048105185998720115
learned,mlp,10,run_003,50,1.0,21.9,1466.12,0.019932581998291427
learned,mlp,10,run_004,50,1.0,21.98,3484.74,0.04007574800110888
learned,mlp,10,run_005,50,1.0,21.9,1753.56,0.02068247200048063
learned,mlp,10,run_006,50,1.0,22.1,2200.88,0.027772878002142534
learned,mlp,10,run_007,50,1.0,21.94,2086.46,0.025654237999115138
learned,mlp,10,run_008,50,1.0,21.9,2144.78,0.025572036001249215
learned,mlp,10,run_009,50,1.0,22.06,1534.86,0.019042316002305597
learned,mlp,10,run_010,50,1.0,21.9,2352.2,0.05186965399945621
learned,mlp,10,run_011,50,1.0,21.9,2103.4,0.05194585000106599
learned,mlp,10,run_012,50,1.0,21.94,1513.3,0.03625521400128491
learned,mlp,10,run_013,50,1.0,21.98,3995.32,0.09519530800054782
learned,mlp,10,run_014,50,1.0,21.9,2297.76,0.04926499000284821
learned,mlp,10,run_015,50,1.0,21.94,2608.8,0.05767093599948567
learned,mlp,20,run_001,50,1.0,21.9,2438.68,0.05673099599895068
learned,mlp,20,run_002,50,1.0,21.9,2166.7,0.04597485600039363
learned,mlp,20,run_003,50,1.0,21.94,2620.02,0.06126469799899496
learned,mlp,20,run_004,50,1.0,21.98,2439.62,0.05148268999997527
learned,mlp,20,run_005,50,1.0,21.94,1296.84,0.03167722200159915
learned,mlp,20,run_006,50,1.0,21.94,2207.7,0.046462058000033724
learned,mlp,20,run_007,50,1.0,21.98,897.74,0.022959599999012426
learned,mlp,20,run_008,50,1.0,21.9,2013.18,0.04559581600071397
learned,mlp,20,run_009,50,1.0,21.94,2595.0,0.0644711160013685
learned,mlp,20,run_010,50,1.0,21.98,1738.02,0.04042713000031654
learned,mlp,20,run_011,50,1.0,21.9,924.1,0.020252976003102958
learned,mlp,20,run_012,50,1.0,21.98,1553.42,0.0336293660022784
learned,mlp,20,run_013,50,1.0,21.9,1540.0,0.03284407400060445
